name,capital,region,area,population,pop_density,urban_population,pop_growth,urban_population_growth,gdp,gdp_per_capita,gdp_growth,average_life_expectancy,life_expectancy_male,life_expectancy_female,unemployment,internet_users
Maldives,Malé,Asia,300.0,540.0,1801.8,40.2,3.4,3.9,5327.0,10330.6,6.9,78.3,77.1,80.4,6.4,63.2
Mali,Bamako,Africa,1240192.0,20251.0,16.6,43.1,3.0,5.0,17172.0,900.1,6.7,58.7,58.0,59.5,7.3,13.0
Malta,Valletta,Europe,316.0,442.0,1379.8,94.7,0.4,0.6,14549.0,33122.8,6.6,82.2,80.4,84.1,3.4,81.7
Marshall Islands,Majuro,Oceania,181.0,53.0,295.8,77.4,0.1,0.8,214.0,3666.9,2.6,71.9,71.3,72.5,4.7,38.7
Martinique,Fort-de-France,Americas,1128.0,375.0,354.0,89.1,-0.2,-0.5,,,,82.4,78.9,85.4,22.8,
Mauritania,Nouakchott,Africa,1030700.0,4650.0,4.5,54.5,2.8,4.8,7620.0,1730.4,3.6,64.6,63.0,66.2,9.6,20.8
Mauritius,Port Louis,Africa,2040.0,1272.0,626.5,40.8,0.2,-0.1,14220.0,11222.0,3.8,74.8,71.4,78.2,6.7,58.6
Mayotte,Mamoudzou,Africa,374.0,65274.0,119.2,80.7,0.3,0.8,2778892.0,41358.1,1.7,82.5,79.4,85.4,8.3,82.0
Mexico,Mexico City,Americas,1964375.0,128933.0,66.3,80.4,1.1,1.8,1223401.0,9694.9,2.0,75.0,72.1,77.8,3.6,65.8
Micronesia,Palikir,Oceania,702.0,115.0,164.3,22.8,1.1,0.3,371.0,3296.4,1.4,67.7,66.1,69.4,,35.3
Moldova,Chișinău,Europe,33846.0,4034.0,122.8,42.7,-0.2,-0.2,11309.0,2791.0,2.8,71.8,67.4,75.9,5.4,76.1
Monaco,Monaco,Europe,2.02,39.0,26373.8,100.0,0.5,0.6,7188.0,185835.0,6.1,,,,,97.1
Mongolia,Ulan Bator,Asia,1564110.0,3278.0,2.1,68.5,1.8,2.1,13010.0,4103.7,6.7,69.7,65.5,73.8,6.0,47.2
Montenegro,Podgorica,Europe,13812.0,628.0,46.7,67.2,0.0,0.6,5507.0,8771.7,5.1,76.7,74.2,79.1,14.8,71.5
Montserrat,Plymouth,Americas,102.0,5.0,52.4,9.1,0.5,0.5,64.0,12753.6,3.7,,,,5.6,54.6
Morocco,Rabat,Africa,446550.0,36911.0,82.7,63.0,1.3,2.4,117921.0,3272.9,3.7,76.3,75.1,77.5,9.0,64.8
Mozambique,Maputo,Africa,801590.0,31255.0,39.7,36.5,2.9,4.5,14717.0,498.9,3.4,60.0,57.0,62.8,3.2,10.0
Myanmar,Naypyidaw,Asia,676578.0,54410.0,83.3,30.9,0.6,1.5,72745.0,1354.4,6.2,66.9,63.7,69.8,1.7,30.7
Namibia,Windhoek,Africa,825615.0,2541.0,3.1,51.0,1.9,4.6,14519.0,5930.1,-0.1,63.0,60.0,65.8,20.6,51.0
Nauru,Yaren,Oceania,21.0,11.0,561.4,100.0,-0.1,2.3,127.0,11875.9,-4.0,61.3,57.8,64.8,23.0,57.0
Nepal,Kathmandu,Asia,147181.0,29137.0,203.3,20.2,1.5,3.2,27830.0,990.6,6.7,70.4,68.8,71.7,1.5,34.0
Netherlands,Amsterdam,Europe,41850.0,17135.0,508.2,91.9,0.2,1.0,914105.0,53583.1,2.6,82.1,80.3,83.8,3.0,94.7
New Caledonia,Nouméa,Oceania,18575.0,286.0,15.6,71.1,1.0,2.1,10174.0,36334.8,1.6,77.4,74.7,80.2,12.8,82.0
New Zealand,Wellington,Oceania,270467.0,4822.0,18.3,86.6,0.9,1.1,207921.0,43836.2,2.8,82.1,80.3,83.8,4.0,90.8
Nicaragua,Managua,Americas,130373.0,6625.0,55.0,58.8,1.2,1.5,13118.0,2028.9,-3.8,74.2,70.6,77.7,7.4,27.9
Niger,Niamey,Africa,1267000.0,206140.0,226.3,51.2,2.6,4.6,421821.0,2153.5,1.9,54.2,53.3,55.1,8.0,42.0
Nigeria,Abuja,Africa,923768.0,206140.0,226.3,51.2,2.6,4.6,421821.0,2153.5,1.9,54.2,53.3,55.1,8.0,42.0
Niue,Alofi,Oceania,260.0,2.0,6.3,45.5,0.1,1.9,,,,73.2,70.1,76.3,,79.6
North Korea,Pyongyang,Asia,120538.0,25779.0,214.1,62.1,0.5,0.8,17487.0,687.9,-4.1,71.9,68.3,75.4,2.8,0.0
North Macedonia,Skopje,Europe,25713.0,2083.0,82.6,58.2,0.0,0.2,12629.0,6062.9,3.3,75.6,73.6,77.6,16.4,79.2
Northern Mariana Islands,Saipan,Oceania,464.0,55.0,120.3,91.7,0.2,0.2,,,,76.3,74.9,77.9,11.2,
Norway,Oslo,Europe,323802.0,5421.0,14.8,82.6,0.8,1.7,434167.0,81335.7,1.3,82.2,80.2,84.2,3.3,96.5
Oman,Muscat,Asia,309500.0,5107.0,16.5,85.4,3.6,8.0,92111.0,19072.8,2.1,77.2,75.8,80.0,2.6,80.2
Pakistan,Islamabad,Asia,881912.0,220892.0,286.5,36.9,2.0,2.7,282346.0,1330.4,5.4,67.0,66.1,68.0,4.4,15.5
Palau,Ngerulmud,Oceania,459.0,22.0,48.8,80.5,1.1,1.7,284.0,15859.4,1.7,72.6,68.1,77.8,4.2,
Palestine,Ramallah,Asia,6220.0,5101.0,847.4,76.4,2.4,3.1,16277.0,3347.0,1.2,73.8,72.2,75.5,26.1,64.4
Panama,Panama City,Americas,75417.0,4315.0,58.0,68.1,1.7,2.2,65055.0,15575.1,3.7,78.3,75.1,81.5,3.8,57.9
Papua New Guinea,Port Moresby,Oceania,462840.0,8947.0,19.8,13.2,2.0,2.2,23077.0,2681.4,0.0,64.1,62.9,65.4,2.5,11.2
Paraguay,Asunción,Americas,406752.0,7132.0,18.0,61.9,1.3,1.8,40307.0,5794.6,4.0,74.1,72.1,76.2,4.8,65.0
Peru,Lima,Americas,1285216.0,32972.0,25.8,78.1,1.6,1.6,222237.0,6947.3,4.0,76.5,73.7,79.2,3.2,52.5
Philippines,Manila,Asia,342353.0,109581.0,367.5,47.1,1.4,2.1,330910.0,3102.7,6.2,71.2,67.1,75.3,2.2,60.1
Poland,Warsaw,Europe,312679.0,37847.0,123.6,60.0,-0.1,-0.2,585661.0,15444.0,5.1,78.6,74.5,82.4,3.0,77.5
Portugal,Lisbon,Europe,92090.0,10197.0,111.3,65.8,-0.3,0.5,240792.0,23477.7,2.4,81.8,78.7,84.6,5.9,74.7
Puerto Rico,San Juan,Americas,8870.0,2861.0,322.5,93.6,-3.3,-0.3,101131.0,33271.2,-4.9,79.9,76.2,83.3,8.4,70.6
Qatar,Doha,Asia,11586.0,2881.0,248.2,99.2,2.3,6.7,191362.0,68793.7,1.5,79.6,78.9,81.8,0.1,99.7
Republic of the Congo,Brazzaville,Africa,342000.0,5518.0,16.2,67.4,2.6,3.3,14173.0,2702.6,1.0,64.2,62.7,65.6,9.3,8.6
Romania,Bucharest,Europe,238391.0,19238.0,83.6,54.1,-0.7,-0.5,239552.0,12280.8,4.0,75.9,72.4,79.3,3.9,70.7
Russia,Moscow,Europe,17098242.0,145934.0,8.9,74.6,0.1,0.2,1660514.0,11394.1,2.3,72.5,66.8,77.5,4.4,80.9
Rwanda,Kigali,Africa,26338.0,12952.0,525.0,17.3,2.6,2.6,9510.0,773.0,8.6,68.4,66.3,70.5,1.0,21.8
Réunion,Saint-Denis,Africa,2511.0,895.0,358.1,99.6,0.7,0.9,,,,80.7,77.3,83.8,28.9,
"Saint Helena, Ascension and Tristan da Cunha",Jamestown,Africa,394.0,4.0,10.6,39.9,0.5,-0.7,,,,,,,2.0,37.6
