name,capital,region,area,population,pop_density,urban_population,pop_growth,urban_population_growth,gdp,gdp_per_capita,gdp_growth,average_life_expectancy,life_expectancy_male,life_expectancy_female,unemployment,internet_users
Uganda,Kampala,Africa,241550.0,45741.0,228.9,24.4,3.6,6.0,30098.0,704.4,8.9,62.7,60.4,65.0,1.9,23.7
Ukraine,Kyiv,Europe,603500.0,43734.0,75.5,69.5,-0.5,-0.4,130832.0,2956.9,3.3,72.1,66.8,76.6,8.9,62.6
United Arab Emirates,Abu Dhabi,Asia,83600.0,9890.0,118.3,86.8,1.3,2.4,414179.0,43005.0,1.7,77.7,77.1,79.1,2.4,98.4
United Kingdom,London,Europe,242900.0,67886.0,280.6,83.7,0.6,1.0,2855297.0,42526.4,1.4,81.2,79.4,82.9,4.1,94.9
United States,"Washington, D.C.",Americas,9372610.0,331003.0,36.2,82.5,0.6,0.9,20580223.0,62917.9,2.9,78.8,76.3,81.3,3.9,87.3
Uruguay,Montevideo,Americas,181034.0,3474.0,19.8,95.4,0.4,0.5,59597.0,17278.1,1.6,77.7,73.9,81.3,8.8,74.8
Uzbekistan,Tashkent,Asia,447400.0,33469.0,78.7,50.4,1.6,1.5,50500.0,1555.0,5.1,71.5,69.4,73.6,6.1,55.2
Vanuatu,Port Vila,Oceania,12189.0,307.0,25.2,25.4,2.5,2.7,889.0,3037.2,3.2,70.3,68.8,71.9,4.4,25.7
Vatican City,Vatican City,Europe,0.44,1.0,1820.5,100.0,0.1,0.2,,,,,,,,
Venezuela,Caracas,Americas,916445.0,28436.0,32.2,88.2,-1.1,1.4,208338.0,7212.2,-18.0,72.3,68.4,76.1,9.4,72.0
Vietnam,Hanoi,Asia,331212.0,97339.0,313.9,36.6,1.0,3.2,244901.0,2563.2,7.1,75.3,71.2,79.4,2.0,70.3
Wallis and Futuna,Mata-Utu,Oceania,142.0,12.0,82.5,0.0,-0.9,0.0,,,,75.9,72.8,78.7,,9.0
Western Sahara,El Aaiún,Africa,266000.0,597.0,2.2,86.8,2.5,1.9,,,,70.0,68.2,71.9,9.4,
Yemen,Sana'a,Asia,527968.0,29826.0,56.5,37.3,2.4,4.4,26672.0,935.9,-1.3,66.0,64.4,67.7,12.8,26.7
Zambia,Lusaka,Africa,752612.0,18384.0,24.7,44.1,2.9,4.3,27283.0,1572.3,4.1,63.3,60.3,66.2,11.4,14.3
Zimbabwe,Harare,Africa,390757.0,14863.0,38.4,32.2,1.5,1.8,24312.0,1683.8,4.8,60.8,59.2,62.2,5.0,27.1
